Id,place,Count
1,東京,5
2,横浜,4
3,花園,4
4,神戸,4
5,静岡,4
6,豊田,4
7,熊谷,3
8,大分,3
9,福岡,3
10,釜石,2
11,熊本,2
12,札幌,2
