id,year,country,Win
1,1987,ニュージーランド,ニュージーランド
2,1991,イングランド,オーストラリア
3,1995,南アフリカ,南アフリカ
4,1999,ウェールズ,オーストラリア
5,2003,オーストラリア,イングランド
6,2007,南アフリカ,南アフリカ
7,2011,ニュージーランド,ニュージーランド
8,2015,イングランド,ニュージーランド
